"--@#1"
"##1434515017048"
"Translation Key","en"
"action.resetcustomentitypolicytodefault","Reset the custom {0} access policy to the default {0} access policy for this {0}"
"action.resetcustominformationpolicytodefault","Reset the custom information access policy to the default information access policy for this {0}"
"action.resettodefaults","Reset to Defaults"
"action.resetzoom","Reset Zoom"
"action.resume","Resume"
"action.retry","Retry"
"action.return","Return"
"action.returnto","Return to {0}"
"action.returntologinscreen","Return to the login screen"
"action.revertsignoff","Revert Sign-off"
"action.select","Select"
"action.selectall","Select All"
"action.selectcolumns","Columns"
"action.selectnone","Select None"
"action.setsecretquestion","Set Security Question"
"action.showalldocuments","Show all documents"
"action.showingalldocuments","Showing all documents"
"action.showkey","Show Key"
"action.showmore","Show More"
"action.shownewer","Show Newer"
"action.shownexttimeperiod","Show next {0} {1}"
"action.showolder","Show Older"
"action.showprevioustimeperiod","Show previous {0} {1}"
"action.showversion","Show Version"
"action.showversionhistory","Show Version History"
"action.splithorizontally","Split Horizontally"
"action.splitvertically","Split Vertically"
"action.summary","Summary"
"action.supportlink","Please contact your administrator."
"action.suspend","Suspend"
"action.today","Today"
"action.updatelist","Update list"
"action.updatepassword","Update Password"
"action.uploadascript","Upload a script"
"action.uploadscriptsource","Upload script source"
"action.usewhativetyped","Use what I''ve typed"
"action.viewattacheddocument","View the attached document"
"action.viewcumulativeresults","View Cumulative Results"
"action.viewingoldreportversion.latestversion","Latest Version"
"action.viewingoldreportversion.newerversion","Newer Version"
"action.viewingoldreportversion.olderversion","Older Version"
"action.weekorweeks","week(s)"
"action.yearoryears","year(s)"
"active","Active"
"active user count","Active User Count"
"active users","Active Users"
"activity summary","Activity Summary"
"actpas","ACTPAS"
"actpas appointment id","ACTPAS Appointment ID"
"actpas clinic","ACTPAS Clinic"
"actpas clinician id","ACTPAS Clinician ID"
"actpas id","ACTPAS ID"
"actpas password","ACTPAS Password"
"actpas referral type *","ACTPAS Referral Type *"
"actpas referralid","ACTPAS ReferralId"
"actpas speciality","ACTPAS Speciality"
"actpas user name","ACTPAS User Name"
"actpas users","ACTPAS Users"
"actpasid","ACTPASID"
"acuity","Acuity"
"acuity namespace","Acuity Namespace"
"add","Add"
"add a non response to a scheduled visit","Add a Non Response to a Scheduled Visit"
"add administered medication","Add Administered Medication"
"add adverse reactions & alerts","Add Adverse Reactions & Alerts"
"add appointment","Add Appointment"
"add care plan","Add Care Plan"
"add ccr event status","Add CCR Event Status"
"add ccr event summary","Add CCR Event Summary"
"add facility","Add Facility"
"add hacc assessment","Add HACC Assessment"
"add immunisation","Add Immunisation"
"add information model","Add Information Model"
"add lifestyle factors","Add Lifestyle Factors"
"add manual handling assessment","Add Manual Handling Assessment"
"add medical history","Add Medical History"
"add medication","Add Medication"
"add medication order","Add Medication Order"
"add new dma","Add New DMA"
"add new form","Add new form"
"add new immunisation","Add New Immunisation"
"add new order set","Add New Order Set"
"add new wound observation","Add new Wound Observation"
"add non response to a scheduled visit","Add Non Response to a Scheduled Visit"
"add obstetric history","Add Obstetric History"
"add off campus / home visit pre-assessment","Add Off Campus / Home Visit Pre-Assessment"
"add progress note","Add Progress Note"
"add social history","Add Social History"
"add surgical history","Add Surgical History"
"add treatment order","Add Treatment Order"
"add vital signs and observations","Add Vital Signs and Observations"
"add walk in","Add Walk In"
"add waterlow assessment","Add Waterlow Assessment"
"additional diagnoses","Additional Diagnoses"
"additional information configuration","Additional Information Configuration"
"additionalfunctionalscreening","AdditionalFunctionalScreening"
"address","Address"
"address line 1","Address Line 1"
"address line 2","Address Line 2"
"address type","Address Type"
"addressline1","AddressLine1"
"addressline2","AddressLine2"
"admin@core.login.link.name","admin"
"administered by","Administered By"
"administered date and time","Administered Date and Time"
"administered medications","Administered Medications"
"administration authoriser@com.orchestral.core.web.admin.servicestatus","Administration Authoriser"
"administrative form search","Administrative Form Search"
"administrator user","Administrator User"
"administrators","Administrators"
"admission","Admission"
"admit date","Admit Date"
"admit date/time","Admit Date/Time"
"age","Age"
"age or date given","Age or Date Given"
"alcohol intake","Alcohol Intake"
"all","All"
"all orders","All Orders"
"all referrals","All Referrals"
"allergies & alerts","Allergies & Alerts"
"allied item configuration","Allied Item Configuration"
"allied subtype configuration","Allied Subtype Configuration"
"alliedcentre","AlliedCentre"
"alliedhome","AlliedHome"
"amend","Amend"
"amend referrals","Amend Referrals"
"annotationsubjectname","Annotation subject"
"answer","Answer"
"application","Application"
"application details","Application Details"
"application name","Application Name"
"application service@com.orchestral.core.web.admin.servicestatus","Application Service"
"application variables","Application Variables"
"applications links","Applications Links"
"appointment arrive date","Appointment Arrive Date"
"appointment arrive time ","Appointment Arrive time "
"appointment arrived date and time","Appointment Arrived Date and Time"
"appointment date","Appointment Date"
"appointment date/time","Appointment Date/Time"
"appointment depart time","Appointment Depart time"
"appointment departed date and time","Appointment Departed Date and Time"
"appointment no","Appointment No"
"appointment seen date and time","Appointment Seen Date and Time"
"appointment seen time ","Appointment Seen time "
"appointment status","Appointment Status"
"appointment time","Appointment Time"
"appointment type","Appointment Type"
"appointmentoid","appointmentOID"
"appointments","Appointments"
"approval status","Approval Status"
"apps_clptl_wicnurse_iam_health","Apps_ClPtl_WiCNurse_IAM_Health"
"appt type","Appt Type"
"archive","Archive"
"archive all","Archive All"
"archive documents","Archive Documents"
"archive reports","Archive Reports"
"archiving","Archiving"
"arrive date time","Arrive Date Time"
"arrived at","Arrived At"
"arrivedat","ArrivedAt"
"assessed","Assessed"
"assessed by","Assessed By"
"assessment","Assessment"
"assessment date","Assessment Date"
"assessment type","Assessment Type"
"assessmentid","AssessmentId"
"assessmentmodelid","AssessmentModelId"
"assign consultant","Assign Consultant"
"assigned consultants by specialty/facility search","Assigned Consultants by Specialty/Facility Search"
"assigned professional","Assigned Professional"
"assignee","Assignee"
"assignee coding system","Assignee Coding System"
"assignee2","Assignee2"
"assigneecode","assigneeCode"
"assigneecodingsystem","assigneeCodingSystem"
"associating","Associating"
"atsi","ATSI"
"attachment","Attachment"
"attend status:","Attend Status:"
"attended","Attended"
"audit log service@com.orchestral.core.web.admin.servicestatus","Audit Log Service"
"audit log@com.orchestral.core.web.admin.servicestatus","Audit Log"
"audit track","Audit track"
"australian postcode","Australian Postcode"
"authenticate.cancelled","Cancelled"
"authenticate.encrypted.channel.error","An unexpected error occurred. Please logout and reopen the browser."
"authenticate.enteruserid","Please enter a user ID"
"authenticate.invalid.credentials","The password entered was not correct. Please check that you have typed your password correctly, including capitalization."
"authenticate.title","Authenticate"
"authentication service@com.orchestral.core.web.admin.servicestatus","Authentication Service"
"author","author"
"auto returned","Auto Returned"
"auto-complete manager","Auto-Complete Manager"
"automatic login mechanism selector@com.orchestral.core.web.admin.servicestatus","Automatic Login Mechanism Selector"
"awaiting booking (triaged)","Awaiting Booking (Triaged)"
"awaiting pre registration (declined)","Awaiting Pre Registration (Declined)"
"awaiting pre registration (received)","Awaiting Pre Registration (Received)"
"awaiting registration (received)","Awaiting Registration (Received)"
"awaiting triage (registered)","Awaiting Triage (Registered)"
"axis2 admin","Axis2 Admin"
"back","Back"
"background task service@com.orchestral.core.web.admin.servicestatus","Background Task Service"
"batch","Batch"
"bathing / showering","Bathing / Showering"
"behavioural problems","Behavioural Problems"
"birthcountry","BirthCountry"
"blue","Blue"
"booked","Booked"
"booked / enrolled","Booked / Enrolled"
"booking instructions","Booking Instructions"
"bulk upload","Bulk Upload"
"business service@com.orchestral.core.web.admin.servicestatus","Business Service"
"button.accept","Accept"
"button.add","Add"
"button.advanced","Advanced"
"button.all","All"
"button.apply","Apply"
"button.attach","Attach"
"button.author","Author"
"button.back","Back"
"button.backout","Backout"
"button.backtopreviouspage","Back to Previous Page"
"button.basic","Basic"
"button.breaklink","Break Link"
"button.breakprivacyseal","Break Privacy Seal"
"button.bulkloadldapusers","Bulk load users"
"button.cancel","Cancel"
"button.ccow.cancel","Cancel"
"button.ccow.ok","OK"
"button.change","Change"
"button.changepassword","Change Password"
"button.chart","Chart"
"button.clear","Clear"
"button.close","Close"
"button.codeset.export","Export code set"
"button.codesets.import","Import"
"button.codesets.import.csv","Import from CSV..."
"button.codesets.search","Search"
"button.configuration.backup","Backup"
"button.configuration.create.label","Create New Label"
"button.configuration.export","Export"
"button.configuration.exportselected","Export Selected"
"button.configure","Configure"
"button.configurelayout","Configure Layout"
"button.continue","Continue"
"button.core.certificate.private.key.regenerate","Regenerate Certificate"
"button.core.identity.deleteattribute","Delete"
"button.core.identity.internal.add.namespace","Add Namespace"
"button.core.identity.internal.delete.namespace","Remove Namespace"
"button.core.identity.namespace.add","Add Namespace"
"button.core.identity.namespace.delete","Delete Namespace"
"button.core.identity.newattribute","New..."
"button.core.identity.type.addtype","Add Type"
"button.core.identity.type.deletetype","Delete Type"
"button.create","Create"
"button.createpassword","Create Password"
"button.current","Current"
"button.das.scriptedadaptor.configure","Configure..."
"button.data.access.test.framework.run","Run Test Framework"
"button.database.schema.update","Update Schema"
"button.date","Date"
"button.delete","Delete"
"button.deselectall","Deselect All"
"button.disclaimer.accept","I Agree"
"button.disclaimer.pre.accept","Accept Conditions"
"button.documentlist.add","Add Column"
"button.documentlist.all","All"
"button.documentlist.down","Down"
"button.documentlist.filter","Filter"
"button.documentlist.unread","Unread"
"button.documentlist.up","Up"
"button.edit","Edit"
"button.export","Export"
"button.exportaspatch","Export"
"button.finish","Finish"
"button.forward","Forward"
"button.foundation.redirectionkey.test","Test Redirection Key..."
"button.go","Go"
"button.graph","Graph"
"button.help","Help"
"button.https.strong.ciphers","Use Strong Ciphers"
"button.identity.getbyid","Get by id"
"button.identity.search","Search"
"button.import","Import"
"button.login","Login"
"button.login.page","Go to Login Page"
"button.loginmechanism.down","Down"
"button.loginmechanism.up","Up"
"button.logout","Logout"
"button.mail.collectnow","Collect Now"
"button.mail.test","Test"
"button.merge","Merge"
"button.messaging.archive.cancel.message","Cancel"
"button.messaging.archive.paging.go","GO"
"button.minus","-"
"button.more","More..."
"button.new","New"
"button.next","Next"
"button.no","No"
"button.ok","OK"
"button.override","Override"
"button.parent","Parent"
"button.password.change","Change Password"
"button.plus","+"
"button.portal.identity.add","Add"
"button.portal.identity.delete","Delete"
"button.previous","Previous"
"button.print","Print"
"button.provisioning.change.repository","Change..."
"button.provisioning.import.package","Import package..."
"button.provisioning.install","Install"
"button.provisioning.upgrade.manual.download","Download manual database scripts"
"button.reject","Reject"
"button.relationship.addrelationshiptype",">> Add Relationship Type"
"button.relationship.removerelationshiptype","<< Remove Relationship Type"
"button.relationship.search.search","Search"
"button.relationshiptype.addidentitytype",">> Add Identity Type"
"button.relationshiptype.removeidentitytype","<< Remove Identity Type"
"button.remove","Remove"
"button.reply","Reply"
"button.reportbug","Report Bug"
"button.repository.messaging.configuration.cancel","Cancel"
"button.repository.messaging.configuration.save","Save Configuration"
"button.request.password.reset","Request Password Reset"
"button.reset","Reset"
"button.reset.password","Reset Password"
"button.reset.to.default","Reset to Default"
"button.resetall","Reset All"
"button.resetpassword","Reset Password"
"button.resettodefault","Reset to default"
"button.retry","Retry"
"button.revertsignoff","Revert Sign-off"
"button.save","Save"
"button.saveandtest","Save and Test"
"button.scheduler.runnow","Execute on This Node Now"
"button.search","Search"
"button.selectall","Select All"
"button.send","Send"
"button.signoff","Sign Off"
"button.signoffandnext","Sign Off and Next"
"button.signoffwithcomment","Sign off with comment"
"button.submit","Submit"
"button.test","Test"
"button.testconnection","Test Connection"
"button.title","Title"
"button.to","To"
"button.update","Update"
"button.updatelayout","Update Layout"
"button.updatepreferences","Update Preferences"
"button.upload","Upload"
"button.upload.logo","Upload Logo"
"button.validate","Validate"
"button.webserver.integration.integrate","Integrate"
"button.yes","Yes"
"call back","Call Back"
"called at","Called At"
"calledat","CalledAt"
"calvary health care","Calvary Health Care"
"calvary user","Calvary User"
"canberra hospital and health services","Canberra Hospital and Health Services"
"cancel","Cancel"
"cancel documents","Cancel Documents"
"cancellationreason","CancellationReason"
"cancelled","Cancelled"
"cancelled at","Cancelled At"
"cancelled at:","Cancelled At:"
"cancelled by:","Cancelled By:"
"cancelled date","Cancelled Date"
"cancelled documents","Cancelled Documents"
"canviewbreastscreeningauditlog","canViewBreastScreeningAuditLog"
"capital pathology","Capital Pathology"
"cappathology","CapPathology"
"care plan instance","Care plan Instance"
"carecoordination","CareCoordination"
"carer existence","Carer Existence"
"carer for more than one person","Carer for more than one person"
"carer residency status","Carer Residency Status"
"carercounselling","CarerCounselling"
"carercountry","CarerCountry"
"carerdateofbirth","CarerDateOfBirth"
"carerdateofbirthestimated","CarerDateOfBirthEstimated"
"carerexistence","CarerExistence"
"carerformorethanone","CarerForMoreThanOne"
"carerindigenousstatus","CarerIndigenousStatus"
"carerlanguagespoken","CarerLanguageSpoken"
"carerlettersofname","CarerLettersOfName"
"carerpostcode","CarerPostCode"
"carerrelation","CarerRelation"
"carerresidencystatus","CarerResidencyStatus"
"carerrespite","CarerRespite"
"carersex","CarerSex"
"carerstate","CarerState"
"carersuburb","CarerSuburb"
"casemanagement","CaseManagement"
"catalogue configuration","Catalogue Configuration"
"category","category"
"ccow service@com.orchestral.core.web.admin.servicestatus","Ccow Service"
"ccr ch1","CCR CH1"
"ccr ch2","CCR CH2"
"ccr chi1","CCR CHI1"
"ccr chi2","CCR CHI2"
"ccr clerical group","CCR Clerical Group"
"ccr clinician appointments","CCR Clinician Appointments"
"ccr clinician contacts","CCR Clinician Contacts"
"ccr clinician current tasks","CCR Clinician Current Tasks"
"ccr clinician search","CCR Clinician Search"
"ccr clinician specialty search","CCR Clinician Specialty Search"
"ccr community clinician search","CCR Community Clinician Search"
"ccr community clinics","CCR Community Clinics"
"ccr community view","CCR Community View"
"ccr contacts - list of contacts","CCR Contacts - List of contacts"
"ccr contacts - list of contacts (maximised)","CCR Contacts - List of contacts (maximised)"
"ccr gp lookup","CCR GP Lookup"
"ccr location search","CCR Location Search"
"ccr outpatient search","CCR Outpatient Search"
"ccr patient appointments","CCR Patient Appointments"
"ccr patient referrals appointments","CCR Patient Referrals Appointments"
"ccr patient referrals walkins","CCR Patient Referrals WalkIns"
"ccr referrals","CCR Referrals"
"ccr referrals - list of referrals","CCR Referrals - List of referrals"
"ccr service","CCR Service"
"ccr specialty search","CCR Specialty Search"
"ccr staff and specialty search","CCR Staff and Specialty Search"
"ccr staff team","CCR Staff Team"
"cdr 6","CDR 6"
"centrebased","CentreBased"
"checkbox.queue.hidesuspended","Hide Suspended"
"checkbox.remember.me","Remember me on this computer"
"chhs referral","CHHS Referral"
"chhs user","CHHS User"
"chi","CHI"
"chi centre","CHI Centre"
"chi referral request","CHI Referral Request"
"chi referrals","CHI Referrals"
"chi referrals level 1","CHI Referrals Level 1"
"chi referrals level 2","CHI Referrals Level 2"
"choose existing referral id ------","Choose Existing Referral ID ------"
"citizens advice bureau","Citizens Advice Bureau"
"city","City"
"clear caches","Clear Caches"
"clerical home page","Clerical Home Page"
"client session manager@com.orchestral.core.web.admin.servicestatus","Client Session Manager"
"clinic","Clinic"
"clinic code","Clinic Code"
"clinic name","Clinic Name"
"clinical documentation","Clinical Documentation"
"clinical documents","Clinical Documents"
"clinical form search","Clinical Form Search"
"clinical impression","Clinical Impression"
"clinical log","Clinical Log"
"clinical notes","Clinical Notes"
"clinical pharmacist","Clinical Pharmacist"
"clinical portal users search","Clinical Portal Users Search"
"clinical record policy","Clinical Record Policy"
"clinical service/ speciality/ program","Clinical Service/ Speciality/ Program"
"clinical service/ specialty/ program","Clinical Service/ Specialty/ Program"
"clinical unit","Clinical Unit"
"clinical user","Clinical User"
"clinician","Clinician"
"clinician code","Clinician Code"
"clinician home page","Clinician Home Page"
"clinician homepage","Clinician Homepage"
"clinician id","Clinician Id"
"clinician lastname","Clinician Lastname"
"clinician name","Clinician Name"
"clinician search","Clinician Search"
"clinician user id","Clinician User Id"
"clinicianid","ClinicianID"
"clinicianidtype","ClinicianIdType"
"clinicians","Clinicians"
"clinicid","ClinicId"
"clinicname","ClinicName"
"clptl_admin","ClPtl_Admin"
"clptl_chhsgeneral","ClPtl_CHHSGeneral"
"clptl_chi level 1","ClPtl_CHI Level 1"
"clptl_chi level 2","ClPtl_CHI Level 2"
"clptl_chilevel2","ClPtl_CHILevel2"
"clptl_clericalcalvary","ClPtl_ClericalCalvary"
"clptl_clericalchhs","ClPtl_ClericalCHHS"
"clptl_cliniciancalvary","ClPtl_ClinicianCalvary"
"clptl_clinicianchhs","ClPtl_ClinicianCHHS"
"clptl_clnphrmcalvary","ClPtl_ClnPhrmCalvary"
"clptl_clnphrmchhs","ClPtl_ClnPhrmCHHS"
"clptl_cnteamleader","ClPtl_CNTeamleader"
"clptl_community service","ClPtl_Community Service"
"clptl_community teamleader","ClPtl_Community Teamleader"
"clptl_communityalliedhealth","ClPtl_CommunityAlliedHealth"
"clptl_communityclinician","ClPtl_CommunityClinician"
"clptl_communityhealthcentreadmin","ClPtl_CommunityHealthCentreAdmin"
"clptl_drchhs","ClPtl_DrCHHS"
"clptl_intake","ClPtl_Intake"
"clptl_medstudentchhs","ClPtl_MedStudentCHHS"
"clptl_wic","ClPtl_WiC"
"clptl_wic_admin","ClPtl_WiC_Admin"
"clptl_wic_whitboard","ClPtl_WiC_Whitboard"
"clptl_wicnp","ClPtl_WiCNP"
"clptl_wicnurse","ClPtl_WiCNurse"
"cmo","CMO"
"code","Code"
"coding manager","Coding Manager"
"coding system","Coding System"
"coding system configuration","Coding System Configuration"
"collected","Collected"
"collection method configuration","Collection Method Configuration"
"collection/procedure date","Collection/Procedure Date"
"collections","Collections"
"column.configuration.changedconfigurationitem","Changed Configuration Item"
"column.configuration.comment","Comment"
"column.configuration.date.time","Date/Time"
"column.configuration.label","Label"
"column.configuration.lastchanged","Last Changed"
"column.configuration.proposedconfigurationitem","Proposed Configuration Item"
"column.configuration.type","Type"
"column.messaging.archive.connection","Connection"
"column.messaging.archive.message_slot_1","Msg Slot 1"
"column.messaging.archive.message_time","Message Time"
"column.messaging.archive.response_code","RC"
"column.messaging.archive.response_slot_1","Rsp Slot 1"
"column.messaging.archive.response_time","Response Time"
"column.messaging.archive.state","Type"
"column.queue.contents.date","Date"
"column.queue.contents.key","Key"
"column.queue.contents.retry","Retry #"
"column.queue.contents.status","Status"
"column.queue.contents.time","Time"
"column.webserver.integration.address","Address"
"column.webserver.integration.host","Host Header"
"column.webserver.integration.port","Port"
"column.webserver.integration.site","Web Site"
"column.webserver.integration.status","Status"
"com.orchestral.core.identity.source.api_6_4.identityclass.identity.name","Identity"
"com.orchestral.core.identity.source.api_6_4.identityclass.individual.name","Individual"
"com.orchestral.core.identity.source.api_6_4.identityclass.individual_at_organization.name","Individual@Organization"
"com.orchestral.core.identity.source.api_6_4.identityclass.organization.name","Organization"
"com.orchestral.core.identity.source.api_6_4.identityclass.patient.name","Patient"
"com.orchestral.core.identity.source.api_6_4.identityclass.user.name","User"
"com.orchestral.core.scheduler.ui.unit.day","Day"
"com.orchestral.core.scheduler.ui.unit.hour","Hour"
"com.orchestral.core.scheduler.ui.unit.month","Month"
"com.orchestral.core.scheduler.ui.unit.year","Year"
"com.orchestral.data.access.messaging.web.action.messageprocessoractionbean.messagingprocessor.modelname","Model name"
"com.orchestral.data.access.messaging.web.action.messageprocessoractionbean.messagingprocessor.previousencounteridpath","Previous Encounter Path"
"com.orchestral.data.access.messaging.web.action.messageprocessoractionbean.messagingprocessor.processor","Processor"
"com.orchestral.data.access.messaging.web.action.messageprocessoractionbean.messagingprocessor.sourcemodelid","Model Id"
"com.orchestral.data.access.messaging.web.action.messageprocessoractionbean.messagingprocessor.sourcemodelid.valuedoesnotmatch","In valid UUID specified."
"com.orchestral.data.access.messaging.web.action.messageprocessoractionbean.messagingprocessor.transactiontimeout","Transaction Timeout"
"com.orchestral.data.access.messaging.web.action.segmentreplacementactionbean.segmentreplacement.mapper","Segment Mapper"
"com.orchestral.data.access.messaging.web.action.segmentreplacementactionbean.segmentreplacement.segmentname","Segment name"
"com.orchestral.data.access.messaging.web.action.segmentreplacementactionbean.segmentreplacement.sourcepath","Segment Source Path"
"com.orchestral.data.access.messaging.web.action.segmentreplacementactionbean.segmentreplacement.targetpath","Segment Target Path"
"com.orchestral.data.access.messaging.web.action.targetmodelmappingactionbean.targetmodelmapping.modelid","Target Model Id"
"com.orchestral.data.access.messaging.web.action.targetmodelmappingactionbean.targetmodelmapping.modelid.valuedoesnotmatch","In valid UUID specified."
"com.orchestral.data.access.messaging.web.action.targetmodelmappingactionbean.targetmodelmapping.modelname","Target Model name"
"com.orchestral.data.access.test.framework.web.action.testframeworkactionbean.filestoprocess","ModelDataDocument Files"
"com.orchestral.data.access.test.framework.web.action.testframeworkactionbean.filetobecompared","The File"
"com.orchestral.data.access.test.framework.web.action.testframeworkactionbean.filetobecompared.valuenotpresent","The File is not present"
"comment","Comment"
"comments","Comments"
"common.action.cancel","Cancel"
"common.action.change","Change"
"common.action.column.less","Less"
"common.action.column.more","More"
"common.action.discard","Discard"
"common.action.form.showhistory","Show History"
"common.action.list.add","Add {0}"
"common.action.login.password.forgot","Forgot Password"
"common.action.menu.more","Show More"
"common.action.revert","Revert"
"common.action.table.more","Show More"
"common.action.table.reset","Reset to Defaults"
"common.button.add","Add"
"common.button.apply","Apply"
"common.button.complete","Complete"
"common.button.field.update","Update Field"
"common.button.list.addall","Add All"
"common.button.list.removeall","Remove All"
"common.button.login","Login"
"common.button.ok","OK"
"common.button.save","Save"
"common.button.send","Send"
"common.button.table.filter","Filter"
"common.button.table.search","Search"
"common.button.update","Update"
"common.error.restrictions.access","You cannot view this page due to access restrictions."
"common.error.restrictions.privacy","Some items are not shown due to privacy restrictions. Break Privacy Seal."
"common.error.save.failed","Error. Could not save. Please try again."
"common.error.unexpected","An error has occurred."
"common.error.validation.field.date.invalid","Date is not valid."
"common.error.validation.field.date.maximum","Date can be no later than {0}."
"common.error.validation.field.date.minimum","Date must be {0} or later."
"common.error.validation.field.date.range.invalid","The dates in this range are reversed."
"common.error.validation.field.email.invalid","Email address is not valid."
"common.error.validation.field.number.invalid","Number is not valid."
"common.error.validation.field.number.maximum","Number must be no greater than {0}."
"common.error.validation.field.number.minimum","Number must be at least {0}."
"common.error.validation.field.phone.invalid","Phone number is not valid."
"common.error.validation.field.required","{0} is required."
"common.error.validation.field.string.maximum","Too many characters. {0} allowed."
"common.error.validation.field.user.invalid","Username or password is not valid."
"common.error.validation.field.user.unique","Username is not available."
"common.error.validation.form.plural","Please complete the {0} highlighted fields."
"common.error.validation.form.singular","Please complete the highlighted field."
"common.label.password","Password"
"common.label.username","Username"
"common.message.age.lessthanoneday","Newborn"
