"--@#1"
"##1434516153354"
"Translation Key","en"
"action.deletewindowlet","Delete Windowlet"
"action.description.download","Download a form of a document in a web browser."
"action.description.inline","View a document inline in a web browser."
"action.description.stream","Access a form of a document directly using HTTP."
"action.description.view","View a document in a web browser."
"action.disable","Disable"
"action.discardchanges","Discard Changes"
"action.download","Download {0}"
"action.downloadcsvresults","Download CSV results"
"action.downloadmergedtranslations","Download {0} Merged Translations"
"action.downloadmissingtranslations","Download {0} Missing Translations"
"action.editcustomentitypolicy","Edit the custom {0} access policy for this {0}"
"action.editcustominformationpolicy","Edit the custom information access policy for this {0}"
"action.editentrypointsecurity","Edit Entry Point Security"
"action.editnotificationdetails","Edit Notification Details"
"action.editrepositorysecurity","Edit Repository Security"
"action.enable","Enable"
"action.enroll.patient.in.pathway","Enroll in Pathway"
"action.escalate","Escalate"
"action.exclude","Exclude"
"action.forgotyourpassword","Forgot your password?"
"action.form.add.questionnaire.summary","Convert to Questionnaire"
"action.form.create","Create"
"action.form.create.formcomponent","Create Form Component"
"action.form.derivedattributes.add","Add Derived Attribute"
"action.form.derivedattributes.showconfiguration","Show Derivation Configuration"
"action.form.documentactions.showconfiguration","Show Document Actions Configuration"
"action.form.eventhandler.actiongroup.add","Add Action Group"
"action.form.eventhandler.showconfiguration","Show Event Handler Configuration"
"action.form.preview","Preview"
"action.form.preview.orbeon","Preview Orbeon"
"action.form.preview.vanilla","Preview Vanilla"
"action.form.publish","Publish"
"action.form.save","Save"
"action.formcomponent.parameterprepopulation.showconfiguration","Show parameter prepopulation configuration"
"action.formitem.add","Add"
"action.formitem.create","Create"
"action.formitem.delete","Delete"
"action.formitem.features[genericsearch].columnmappings.add","Add Column Mapping"
"action.formitem.features[genericsearch].parameters.add","Add Filter Criteria"
"action.formitem.features[genericsearch].showconfiguration","Show generic search configuration"
"action.formitem.parameterprepopulation.add","Add Prepopulation from Parameter"
"action.formitem.parameterprepopulation.showconfiguration","Show Parameter Prepopulation Configuration"
"action.formitem.properties.apply","Apply"
"action.formitem.properties.editlookupvalues","Edit Custom Lookup"
"action.formitemname.duplicate.explain","Explain"
"action.formitemname.invalid.explain","Explain"
"action.fromdatetodate","From {0} to {1}"
"action.generatepassword","Generate new password"
"action.getfreeviewer","Get Free Viewer"
"action.gotologinpage","Go to Login Page"
"action.help","Help"
"action.hide.inactive","Hide Inactive"
"action.home","Home"
"action.hourorhours","hour(s)"
"action.include","Include"
"action.installccowclientcomponents","Click here to install the Clinical Portal CCOW Client Components"
"action.less","Less"
"action.loginasshareduser","Login as shared user"
"action.logoutfromccowapplications","Logout from all CCOW applications"
"action.logoutfromconcerto","Logout from Clinical Portal"
"action.markallasread","Mark All As Read"
"action.markalldocumentsasread","Mark all documents as read"
"action.markasunread","Mark as Unread"
"action.markselecteddocumentread","Mark selected document as read"
"action.markselecteddocumentunread","Mark selected document as unread"
"action.monthormonths","month(s)"
"action.more","More"
"action.name.download","Download"
"action.name.inline","View Inline"
"action.name.stream","Stream"
"action.name.view","View"
"action.newsectionbelow","New Section Below"
"action.newsectionright","New Section to the Right"
"action.newtasksreceived","New Tasks Received"
"action.next","Next"
"action.nextunsignedreport","Next Unsigned Report"
"action.notification.dismiss","Dismiss."
"action.opendocument","Open Document"
"action.opendocumentview","Open the <I>{0}</I> document view "
"action.openpatientrecord","Open Patient Record"
"action.openportalpage","Open the <I>{0}</I> portal page"
"action.opensearchinapplication","Open the <I>{0}</I> search in the <I>{1}</I> application"
"action.opensearchresultsinapplication","Open the results of the <I>{0}</I> search in the <I>{1}</I> application"
"action.openxmlxsltransform","Transform the XML resource at <I>{0}</I> with the XSL stylesheet at <I>{1}</I>"
"action.passwordresetrestart","restart the password reset process"
"action.previous","Previous"
"action.print","Print"
"action.printerfriendlyversion","Printer Friendly Version"
"action.reassign","Reassign"
"action.redirectiontype.documentview","Document View"
"action.redirectiontype.http","HTTP"
"action.redirectiontype.portalpage","Portal Page"
"action.redirectiontype.search","Search"
"action.redirectiontype.searchresults","Search Results"
"action.redirectiontype.xmlxsltransform","XML/XSL Transform"
"action.refreshyourwindow","Refresh your window."
"action.reject","Reject"
"action.removecompletedtasks","Remove Completed Tasks"
"action.removesorting","Remove Sorting"
"action.renameworklist","Rename"
"action.reschedule","Reschedule"
"action.reset","Reset"
"action.resetcustomentitypolicytodefault","Reset the custom {0} access policy to the default {0} access policy for this {0}"
"action.resetcustominformationpolicytodefault","Reset the custom information access policy to the default information access policy for this {0}"
"action.resettodefaults","Reset to Defaults"
"action.resetzoom","Reset Zoom"
"action.results.back","Back"
"action.results.choose","Choose"
"action.results.done","Done"
"action.resume","Resume"
"action.retry","Retry"
"action.return","Return"
"action.returnto","Return to {0}"
"action.returntologinscreen","Return to the login screen"
"action.revertsignoff","Revert Sign-off"
"action.save","Save"
"action.search","Search"
"action.search.reset","Reset"
"action.search.showsummary","Show Summary"
"action.searchdocuments","Search Documents"
"action.select","Select"
"action.selectall","Select All"
"action.selectcolumns","Columns"
"action.selectnone","Select None"
"action.setsecretquestion","Set Security Question"
"action.show.all","Show All"
"action.showalldocuments","Show all documents"
"action.showingalldocuments","Showing all documents"
"action.showkey","Show Key"
"action.showmore","Show More"
"action.shownewer","Show Newer"
"action.shownexttimeperiod","Show next {0} {1}"
"action.showolder","Show Older"
"action.showprevioustimeperiod","Show previous {0} {1}"
"action.showversion","Show Version"
"action.showversionhistory","Show Version History"
"action.splithorizontally","Split Horizontally"
"action.splitvertically","Split Vertically"
"action.summary","Summary"
"action.supportlink","Please contact your administrator."
"action.suspend","Suspend"
"action.tasks.show.less","less"
"action.tasks.show.more","more"
"action.today","Today"
"action.updatelist","Update list"
"action.updatepassword","Update Password"
"action.uploadascript","Upload a script"
"action.uploadscriptsource","Upload script source"
"action.usewhativetyped","Use what I''ve typed"
"action.version.history.hide","Hide History"
"action.version.history.show","Show History"
"action.version.latest.view","View Latest Version"
"action.viewattacheddocument","View the attached document"
"action.viewcumulativeresults","View Cumulative Results"
"action.viewingoldreportversion.latestversion","Latest Version"
"action.viewingoldreportversion.newerversion","Newer Version"
"action.viewingoldreportversion.olderversion","Older Version"
"action.weekorweeks","week(s)"
"action.yearoryears","year(s)"
"active","Active"
"active referrals","Active Referrals"
"active user count","Active User Count"
"active users","Active Users"
"activity summary","Activity Summary"
"actpas","ACTPAS"
"actpas - allergies & alerts","ACTPAS - Allergies & Alerts"
"actpas - clinical indicators","ACTPAS - Clinical Indicators"
"actpas - emergency encounter history","ACTPAS - Emergency Encounter History"
"actpas - encounter history","ACTPAS - Encounter History"
"actpas - flags and indicators","ACTPAS - Flags and Indicators"
"actpas - immunization list","ACTPAS - Immunization List"
"actpas - list of booked patients","ACTPAS - List of booked patients"
"actpas - list of contacts","ACTPAS - List of Contacts"
"actpas - list of new referrals","ACTPAS - List of new referrals"
"actpas - list of referrals","ACTPAS - List of Referrals"
"actpas - my inpatients","ACTPAS - My Inpatients"
"actpas - my outpatients","ACTPAS - My Outpatients"
"actpas - patient directive","ACTPAS - Patient Directive"
"actpas appointment id","ACTPAS Appointment ID"
"actpas clinic","ACTPAS Clinic"
"actpas clinician id","ACTPAS Clinician ID"
"actpas password","ACTPAS Password"
"actpas referral type *","ACTPAS Referral Type *"
"actpas referralid","ACTPAS ReferralId"
"actpas referraloid","ACTPAS ReferralOID"
"actpas referrals","ACTPAS Referrals"
"actpas speciality","ACTPAS Speciality"
"actpas user clinic","ACTPAS User Clinic"
"actpas user name","ACTPAS User Name"
"actpas users","ACTPAS Users"
"actpasid","ACTPASID"
"acuity","Acuity"
"acuity namespace","Acuity Namespace"
"add","Add"
"add administered medication","Add Administered Medication"
"add adverse reactions & alerts","Add Adverse Reactions & Alerts"
"add allergies and alerts","Add Allergies and Alerts"
"add allergies and alerts (actpas)","Add Allergies and Alerts (ACTPAS)"
"add allergies and alerts(actpas)","Add Allergies and Alerts(ACTPAS)"
"add appointment","Add Appointment"
"add audit task search","Add Audit Task Search"
"add care plan","Add Care Plan"
"add ccr event status","Add CCR Event Status"
"add ccr event summary","Add CCR Event Summary"
"add document episode independent","Add Document Episode Independent"
"add document for form","Add Document For Form"
"add event@erf.referral.action","Add Event"
"add facility","Add Facility"
"add global form","Add Global Form"
"add global waterlow","Add Global Waterlow"
"add hacc","Add HACC"
"add hacc assessment","Add HACC Assessment"
"add immunisation","Add Immunisation"
"add information model","Add Information Model"
"add leg ulcer key performance indicator","Add Leg Ulcer Key Performance Indicator"
"add lifestyle factors","Add Lifestyle Factors"
"add manual handling assessment","Add Manual Handling Assessment"
"add medical history","Add Medical History"
"add medical or surgical history","Add Medical or Surgical History"
"add medical treatment order","Add medical treatment order"
"add medication","Add Medication"
"add medication order","Add Medication Order"
"add new dma","Add New DMA"
"add new foot ulcer","Add New Foot Ulcer"
"add new form","Add new form"
"add new form document search","Add New Form Document Search"
"add new hacc assessment","Add New HACC Assessment"
"add new immunisation","Add New Immunisation"
"add new medical treatment order","Add new medical treatment order"
"add new medication","Add New Medication"
"add new note","Add new Note"
"add new practitioner","Add New Practitioner"
"add new pressure sore","Add New Pressure Sore"
"add new site","Add new site"
"add new social information","Add New Social Information"
"add new treatment order","Add new Treatment Order"
"add new vital signs and observations","Add New Vital Signs and Observations"
"add new wound observation","Add new Wound Observation"
"add new wounds assessment","Add new Wounds Assessment"
"add note@com.orchestral.referrals.action.config.referralaction","Add Note"
"add note@erf.referral.action","Add Note"
"add obstetric history","Add Obstetric History"
"add off campus / home visit pre-assessment","Add Off Campus / Home Visit Pre-Assessment"
"add planned contact","Add Planned Contact"
"add progress note","Add Progress Note"
"add progress note task","Add Progress Note Task"
"add referral","Add Referral"
"add review","Add Review"
"add service request","Add Service Request"
"add social history","Add Social History"
"add surgical history","Add Surgical History"
"add task via web service search","Add Task via Web Service Search"
"add treatment order","Add Treatment Order"
"add vital signs","Add Vital Signs"
"add vital signs and observations","Add Vital Signs and Observations"
"add walk in","Add Walk In"
"add waterlow","Add Waterlow"
"add waterlow assessment","Add Waterlow Assessment"
"added by","Added By"
"additional information configuration","Additional Information Configuration"
"additionalfunctionalscreening","AdditionalFunctionalScreening"
"address","Address"
"address 1","Address 1"
"address 2","Address 2"
"admin@core.login.link.name","admin"
"administered by","Administered By"
"administered date and time","Administered Date and Time"
"administered medications","Administered Medications"
"administration authoriser@com.orchestral.core.web.admin.servicestatus","Administration Authoriser"
"administrator user","Administrator User"
"administrators","Administrators"
"admission","Admission"
"admission date","Admission Date"
"admissiondate","AdmissionDate"
"admit date","Admit Date"
"admit date/time","Admit Date/Time"
"age","Age"
"age or date given","Age or Date Given"
"alcohol","Alcohol"
"alcohol intake","Alcohol Intake"
"alcoholintake","AlcoholIntake"
"alert","Alert"
"alert.empty.attachment","Attachment can''t be empty"
"alert.eventdate.in.future","This document cannot be signed using a future event date."
"alert.integer.too.big","Integer can't be bigger than 2^31."
"alert.invalid.date","Not a date."
"alert.invalid.datetime","Not a date time."
"alert.invalid.decimal","Not a decimal value."
"alert.invalid.integer","Not an integer value."
"alert.invalid.partialdate","Not a partial date."
"alert.large.attachment","Attachment is larger than maximum size of"
"alert.missing.transcribed.information","Missing information in this transcribed field."
"alert.must.supply.value","You must supply a value"
"alert.normalized.datetime","Adjusted to server timezone from {0}"
"alert.normalized.datetime.print","(Adjusted to server timezone from {0})"
"alert.required.but.not.filled.in","A value is required for this field."
"alert.string.too.long","Text can't be longer than 256 characters."
"alerts and alergies","Alerts and Alergies"
"alerts and allergies","Alerts and Allergies"
"all","All"
"all referrals","All Referrals"
"all referrals search","All Referrals Search"
"allergies & alerts","Allergies & Alerts"
"allergies & alerts (actpas)","Allergies & Alerts (ACTPAS)"
"allied item configuration","Allied Item Configuration"
"allied subtype configuration","Allied Subtype Configuration"
"alliedcentre","AlliedCentre"
"alliedhome","AlliedHome"
"allocated date","Allocated Date"
"amend","Amend"
"annotationsubjectname","Annotation subject"
"answer","Answer"
"any supplemental o2","Any Supplemental O2"
"appearance","Appearance"
"appintment no","Appintment No"
"apple","Apple"
"application","Application"
"application details","Application Details"
"application name","Application Name"
"application search","Application Search"
"application service@com.orchestral.core.web.admin.servicestatus","Application Service"
"application variables","Application Variables"
"applications","Applications"
"applications links","Applications Links"
"appointment at","Appointment At"
"appointment booked in@erf.referral.action","Appointment Booked in"
"appointment booking","Appointment Booking"
"appointment clinician","Appointment Clinician"
"appointment date","Appointment Date"
"appointment date time","Appointment Date Time"
"appointment no","Appointment No"
"appointment oid","Appointment OID"
"appointment pathway","Appointment Pathway"
"appointment time","Appointment Time"
"appointment type","Appointment Type"
"appointment@erf.referral.eventtype","Appointment"
"appointmentoid","appointmentOID"
"appointments","Appointments"
"appointments booked (actpas)","Appointments Booked (ACTPAS)"
"appt type","Appt Type"
"archive","Archive"
"archive all","Archive All"
"archive documents","Archive Documents"
"archiving","Archiving"
"arrived at","Arrived At"
"arrivedat","ArrivedAt"
"assessed","Assessed"
"assessed by","Assessed By"
"assessment","Assessment"
"assessment date","Assessment Date"
"assessment type","Assessment Type"
"assessmentid","AssessmentId"
"assessmentmodelid","AssessmentModelId"
"assessments","Assessments"
"assign consultant","Assign Consultant"
"assign to me@com.orchestral.referrals.action.config.referralaction","Assign To Me"
"assign to me@erf.referral.action","Assign To Me"
"assigned","Assigned"
"assigned consultants by specialty/facility search","Assigned Consultants by Specialty/Facility Search"
"assigned professional","Assigned Professional"
"assignee","Assignee"
"assignee coding system","Assignee Coding System"
"associate documents","Associate Documents"
"associate reports","Associate Reports"
"associating","Associating"
"attached document","Attached Document"
"attachment","Attachment"
"attempted to contact patient@erf.referral.eventtype","Attempted to Contact Patient"
"attend status:","Attend Status:"
"attendance indicator","Attendance Indicator"
"attendance indicator code","Attendance Indicator Code"
"attended","Attended"
"attribute.schema.description.document","Metadata attributes commonly applied to clinical documents."
"attribute.schema.description.patient","Metadata attributes commonly applied to patients, e.g. patient identity and addressing."
"attribute.schema.description.standard","Metadata attributes commonly used in media documents."
"attribute.schema.name.document","Document Media Metadata Attributes"
"attribute.schema.name.patient","Clinical Metadata Attributes"
"attribute.schema.name.standard","Standard Media Metadata Attributes"
"audit log@com.orchestral.core.web.admin.servicestatus","Audit Log"
"audit track","Audit track"
"authenticate.cancelled","Cancelled"
"authenticate.encrypted.channel.error","An unexpected error occurred. Please logout and reopen the browser."
"authenticate.enteruserid","Please enter a user ID"
"authenticate.invalid.credentials","The password entered was not correct. Please check that you have typed your password correctly, including capitalization."
"authenticate.title","Authenticate"
"authentication service@com.orchestral.core.web.admin.servicestatus","Authentication Service"
"author","author"
"author mm","Author MM"
"auto returned","Auto Returned"
"auto-complete manager","Auto-Complete Manager"
"autoenrol patient","AutoEnrol Patient"
"autoenroll","Autoenroll"
"automatic login mechanism selector@com.orchestral.core.web.admin.servicestatus","Automatic Login Mechanism Selector"
"awaiting review","Awaiting Review"
"axis2 admin","Axis2 Admin"
"ba","ba"
"back","Back"
"background task service@com.orchestral.core.web.admin.servicestatus","Background Task Service"
"backup copy of patient - care plan items","Backup Copy of Patient - Care Plan Items"
"banana","Banana"
"batch","Batch"
"bathing / showering","Bathing / Showering"
"bedirected@erf.referral.action","Bedirected"
"behavioural problems","Behavioural Problems"
"birthcountry","BirthCountry"
"blabla","Blabla"
"black","black"
"blank","Blank"
"block","block"
"blood pressure (bp)","Blood Pressure (BP)"
"blue","Blue"
"booked","Booked"
"booked3","Booked3"
"booked@erf.referral.action","Booked"
"booked@erf.referral.eventtype","Booked"
"booking date time","Booking Date Time"
"booking status","Booking Status"
"bookings test","Bookings Test"
"bowel stoma assessment review@com.orchestral.workflow.task.api_2_0.tasktype","Bowel Stoma Assessment Review"
"bowel stoma assessment@com.orchestral.workflow.task.api_2_0.tasktype","Bowel Stoma Assessment"
"brand","Brand"
"brand name","Brand Name"
"brandname","brandName"
"broadcast message","Broadcast Message"
"browsertype.webbrowser","Web Browser"
"bubu@erf.referral.action","bubu"
"bulk upload","Bulk Upload"
"burns assessment@com.orchestral.workflow.task.api_2_0.tasktype","Burn or Scald Wound Assessment"
"burns or scald review@com.orchestral.workflow.task.api_2_0.tasktype","Burn or Scald Wound Assessment Review"
"business service@com.orchestral.core.web.admin.servicestatus","Business Service"
"button.accept","Accept"
"button.add","Add"
"button.add.program.step","Add Step"
"button.addactivitytimeschedulingquery","Add Activity Time Query"
"button.advanced","Advanced"
"button.all","All"
"button.apply","Apply"
"button.attach","Attach"
"button.author","Author"
"button.back","Back"
"button.backout","Backout"
"button.backtopreviouspage","Back to Previous Page"
"button.basic","Basic"
"button.bpm.edit","Edit Business Process"
"button.breaklink","Break Link"
"button.breakprivacyseal","Break Privacy Seal"
"button.bulkloadldapusers","Bulk load users"
"button.cancel","Cancel"
"button.ccow.cancel","Cancel"
"button.ccow.ok","OK"
"button.change","Change"
"button.changepassword","Change Password"
"button.chart","Chart"
"button.clear","Clear"
"button.close","Close"
"button.codeset.export","Export code set"
"button.codesets.import","Import"
"button.codesets.import.csv","Import from CSV..."
"button.codesets.search","Search"
"button.com.orchestral.i12e.document.test.registry.search","Search"
"button.com.orchestral.i12e.document.test.repository.retrievedocument","Retrieve"
"button.configuration.backup","Backup"
"button.configuration.create.label","Create New Label"
"button.configuration.export","Export"
"button.configuration.exportselected","Export Selected"
"button.configure","Configure"
"button.configurelayout","Configure Layout"
"button.continue","Continue"
"button.core.certificate.private.key.regenerate","Regenerate Certificate"
"button.core.identity.deleteattribute","Delete"
"button.core.identity.internal.add.namespace","Add Namespace"
"button.core.identity.internal.delete.namespace","Remove Namespace"
"button.core.identity.namespace.add","Add Namespace"
"button.core.identity.namespace.delete","Delete Namespace"
"button.core.identity.newattribute","New..."
"button.core.identity.type.addtype","Add Type"
"button.core.identity.type.deletetype","Delete Type"
"button.create","Create"
"button.create.questionnaire.for.patient","Create Questionnaire"
"button.createpassword","Create Password"
"button.current","Current"
"button.das.scriptedadaptor.configure","Configure..."
"button.data.access.test.framework.run","Run Test Framework"
"button.database.schema.update","Update Schema"
"button.date","Date"
"button.delete","Delete"
"button.deselectall","Deselect All"
"button.dictionary.refresh","Refresh"
"button.disclaimer.accept","I Agree"
"button.disclaimer.pre.accept","Accept"
"button.documentlist.add","Add Column"
"button.documentlist.all","All"
"button.documentlist.down","Down"
"button.documentlist.filter","Filter"
"button.documentlist.unread","Unread"
"button.documentlist.up","Up"
"button.download","Download"
"button.edit","Edit"
"button.enroll.pathway","Enroll"
"button.export","Export"
"button.exportaspatch","Export"
"button.finish","Finish"
"button.formitem.features[genericsearch].retrievespatientinformation.no","No"
"button.formitem.features[genericsearch].retrievespatientinformation.yes","Yes"
"button.forward","Forward"
"button.foundation.redirectionkey.test","Test Redirection Key..."
"button.generate.randomoid","Generate random"
"button.get.all.questionnaire.summaries.for.patient","Get all summaries"
"button.get.all.questionnaire.summaries.of.type.for.patient","Get all summaries of type"
"button.get.growth.chart.for.patient","Get growth chart for patient"
"button.get.questionnaire.definition","Get by Id"
"button.get.questionnaire.definition.summaries","List summaries"
"button.get.specified.questionnaire.for.patient","Get specified questionnaire"
"button.go","Go"
"button.graph","Graph"
"button.grouplist.addgroup","Add Group >>"
"button.grouplist.removegroup","<< Remove Group"
"button.help","Help"
"button.https.strong.ciphers","Use Strong Ciphers"
"button.i12e.enable.all","Enable All"
"button.i12e.enable.all.handlers","Enable All Clinical Event Handlers"
"button.identity.getbyid","Get by id"
"button.identity.search","Search"
"button.import","Import"
"button.login","Login"
"button.login.page","Go to Login Page"
"button.loginmechanism.down","Down"
"button.loginmechanism.up","Up"
"button.logo.change","Change..."
"button.logout","Logout"
"button.mail.collectnow","Collect Now"
"button.mail.test","Test"
"button.merge","Merge"
"button.messaging.archive.cancel.message","Cancel"
"button.messaging.archive.paging.go","GO"
"button.minus","-"
"button.more","More..."
"button.new","New"
"button.next","Next"
"button.no","No"
"button.ok","OK"
"button.override","Override"
"button.parent","Parent"
"button.password.change","Change Password"
"button.plus","+"
"button.portal.identity.add","Add"
"button.portal.identity.delete","Delete"
"button.previous","Previous"
"button.print","Print"
"button.provisioning.change.repository","Change..."
"button.provisioning.import.package","Import package..."
"button.provisioning.install","Install"
"button.provisioning.upgrade.manual.download","Download manual database scripts"
"button.reassign","Reassign"
"button.reject","Reject"
"button.relationship.addrelationshiptype",">> Add Relationship Type"
"button.relationship.removerelationshiptype","<< Remove Relationship Type"
"button.relationship.search.search","Search"
"button.relationshiptype.addidentitytype",">> Add Identity Type"
"button.relationshiptype.removeidentitytype","<< Remove Identity Type"
"button.remove","Remove"
"button.remove.program.step","Remove Step"
"button.removeactivitytimeschedulingquery","Remove Query"
"button.reply","Reply"
"button.reportbug","Report Bug"
"button.repository.core.conf.save","Save Configuration"
"button.repository.messaging.configuration.cancel","Cancel"
"button.repository.messaging.configuration.save","Save Configuration"
"button.repository.schemagenerator.run","Run Schema Generator"
"button.request.password.reset","Reset"
"button.reset","Reset"
"button.reset.password","Reset Password"
"button.reset.to.default","Reset to Default"
"button.resetall","Reset All"
"button.resetpassword","Reset Password"
"button.resettodefault","Reset to default"
"button.retry","Retry"
"button.revertsignoff","Revert Sign-off"
"button.save","Save"
"button.saveandtest","Save and Test"
"button.scheduler.runnow","Execute on This Node Now"
"button.scripting.debugging.disabled","Enable Debugging"
"button.scripting.debugging.enabled","Disable Debugging"
"button.search","Search"
"button.selectall","Select All"
"button.send","Send"
"button.signoff","Sign Off"
"button.signoffandnext","Sign Off and Next"
"button.signoffwithcomment","Sign off with comment"
"button.submit","Submit"
"button.tasktypelist.addtasktype","Add Task Type >>"
"button.tasktypelist.removetasktype","<< Remove Task Type"
"button.test","Test"
"button.testconnection","Test Connection"
"button.title","Title"
"button.to","To"
"button.update","Update"
"button.update.questionnaire.for.patient","Update Questionnaire"
"button.updatelayout","Update Layout"
"button.updatepreferences","Update Preferences"
"button.upload","Upload"
"button.upload.background","Change Background"
"button.upload.logo","Change Logo"
"button.validate","Validate"
"button.webserver.integration.integrate","Integrate"
"button.yes","Yes"
"calculation.bmi.imperial","BMI (Imperial)"
"calculation.bmi.metric","BMI (Metric)"
"call back","Call back"
"call back@erf.referral.action","Call Back"
"callback","Callback"
"callback queue","Callback Queue"
"called at","Called At"
"calledat","CalledAt"
"calvary ed patient search","Calvary ED Patient Search"
"calvary health care","Calvary Health Care"
"calvary user","Calvary User"
"canberra hospital and health services","Canberra Hospital and Health Services"
"cancel","Cancel"
"cancel docs","Cancel Docs"
"cancel documents","Cancel Documents"
"cancel@erf.referral.action","Cancel"
"cancellationreason","CancellationReason"
"cancelled","Cancelled"
"cancelled at","Cancelled At"
"cancelled at:","Cancelled At:"
"cancelled by","Cancelled By"
"cancelled by code","Cancelled By Code"
"cancelled by:","Cancelled By:"
"cancelled date","Cancelled Date"
"cancelled documents","Cancelled Documents"
"cancelled on","Cancelled On"
"cancelled reason","Cancelled Reason"
"cancelled reason code","Cancelled Reason Code"
"cancelled@erf.referral.action","Cancelled"
"cancelledat","CancelledAt"
"cancelledghghgh@erf.referral.action","Cancelledghghgh"
"canviewbreastscreeningauditlog","canViewBreastScreeningAuditLog"
"capital pathology","Capital Pathology"
"cappathology","CapPathology"
"care plan","Care Plan"
"care plan instance","Care plan Instance"
"care plan@com.orchestral.workflow.task.api_2_0.tasktype","Care Plan"
"care providers","Care Providers"
"care providers (actpas)","Care Providers (ACTPAS)"
"carecoordination","CareCoordination"
"carer existence","Carer Existence"
"carer for more than one person","Carer for more than one person"
"carer residency status","Carer Residency Status"
"carercounselling","CarerCounselling"
"carercountry","CarerCountry"
"carerdateofbirth","CarerDateOfBirth"
"carerdateofbirthestimated","CarerDateOfBirthEstimated"
"carerexistence","CarerExistence"
"carerformorethanone","CarerForMoreThanOne"
"carerindigenousstatus","CarerIndigenousStatus"
"carerlanguagespoken","CarerLanguageSpoken"
"carerlettersofname","CarerLettersOfName"
